id,timestep,consumption_eur,consumption_sib,price_eur,price_sib
1,2006-09-01 00:00,62341.0,17916.0,275.22,0.0
2,2006-09-01 01:00,60625.0,17467.0,0.0,0.0
3,2006-09-01 02:00,59685.0,17161.0,0.0,0.0
4,2006-09-01 03:00,59500.0,17061.0,0.0,0.0
5,2006-09-01 04:00,60617.0,17074.0,0.0,0.0
6,2006-09-01 05:00,62262.0,17273.0,29.96,0.0
7,2006-09-01 06:00,64503.0,17625.0,343.73,0.0
8,2006-09-01 07:00,68316.0,18074.0,440.01,0.0
9,2006-09-01 08:00,71802.0,18698.0,462.64,0.0
10,2006-09-01 09:00,73390.0,19195.0,471.93,0.0
11,2006-09-01 10:00,73814.0,19482.0,485.33,0.0
12,2006-09-01 11:00,73548.0,19525.0,469.21,0.0
13,2006-09-01 12:00,72991.0,19353.0,486.96,0.0
14,2006-09-01 13:00,73472.0,19293.0,548.62,0.0
15,2006-09-01 14:00,73072.0,19355.0,546.23,0.0
16,2006-09-01 15:00,72058.0,19308.0,545.57,0.0
17,2006-09-01 16:00,71257.0,19143.0,549.21,0.0
18,2006-09-01 17:00,70177.0,19088.0,497.24,0.0
19,2006-09-01 18:00,69913.0,19095.0,432.99,0.0
20,2006-09-01 19:00,70752.0,19134.0,444.95,0.0
21,2006-09-01 20:00,72906.0,19421.0,458.19,0.0
22,2006-09-01 21:00,72680.0,19767.0,472.21,0.0
23,2006-09-01 22:00,69211.0,19585.0,503.33,0.0
24,2006-09-01 23:00,65985.0,18736.0,427.16,0.0
25,2006-09-02 00:00,62377.0,17902.0,372.13,0.0
26,2006-09-02 01:00,60784.0,17415.0,331.63,0.0
27,2006-09-02 02:00,59588.0,17162.0,0.0,0.0
28,2006-09-02 03:00,59107.0,17056.0,0.0,0.0
29,2006-09-02 04:00,59100.0,17026.0,0.0,0.0
30,2006-09-02 05:00,60272.0,17015.0,24.47,0.0
31,2006-09-02 06:00,60734.0,17224.0,0.0,0.0
32,2006-09-02 07:00,62203.0,17452.0,324.74,0.0
33,2006-09-02 08:00,64702.0,17831.0,335.53,0.0
34,2006-09-02 09:00,67110.0,18466.0,413.42,0.0
35,2006-09-02 10:00,67762.0,18698.0,428.21,0.0
36,2006-09-02 11:00,67284.0,18676.0,370.49,0.0
37,2006-09-02 12:00,67513.0,18584.0,454.63,0.0
38,2006-09-02 13:00,66688.0,18620.0,395.69,0.0
39,2006-09-02 14:00,66832.0,18569.0,447.36,0.0
40,2006-09-02 15:00,66552.0,18466.0,475.13,0.0
41,2006-09-02 16:00,66454.0,18361.0,474.36,0.0
42,2006-09-02 17:00,66106.0,18453.0,445.71,0.0
43,2006-09-02 18:00,66473.0,18517.0,443.75,0.0
44,2006-09-02 19:00,67565.0,18697.0,447.25,0.0
45,2006-09-02 20:00,70041.0,19013.0,470.86,0.0
46,2006-09-02 21:00,70157.0,19355.0,541.12,0.0
47,2006-09-02 22:00,66949.0,19267.0,475.93,0.0
48,2006-09-02 23:00,63389.0,18411.0,430.72,0.0
49,2006-09-03 00:00,61034.0,17828.0,0.0,0.0
50,2006-09-03 01:00,59461.0,17419.0,0.0,0.0
51,2006-09-03 02:00,58351.0,17130.0,0.0,0.0
52,2006-09-03 03:00,57847.0,16980.0,0.0,0.0
53,2006-09-03 04:00,58300.0,16926.0,0.0,0.0
54,2006-09-03 05:00,58594.0,17007.0,0.0,0.0
55,2006-09-03 06:00,59289.0,17184.0,0.0,0.0
56,2006-09-03 07:00,59575.0,17415.0,0.0,0.0
57,2006-09-03 08:00,61790.0,17652.0,0.0,0.0
58,2006-09-03 09:00,63608.0,18066.0,0.0,0.0
59,2006-09-03 10:00,64716.0,18323.0,333.75,0.0
60,2006-09-03 11:00,64639.0,18360.0,333.47,0.0
61,2006-09-03 12:00,64592.0,18384.0,339.14,0.0
62,2006-09-03 13:00,64580.0,18373.0,354.12,0.0
63,2006-09-03 14:00,64318.0,18384.0,348.74,0.0
64,2006-09-03 15:00,64458.0,18368.0,350.55,0.0
65,2006-09-03 16:00,64684.0,18372.0,365.8,0.0
66,2006-09-03 17:00,65322.0,18456.0,364.68,0.0
67,2006-09-03 18:00,65954.0,18588.0,379.49,0.0
68,2006-09-03 19:00,67277.0,18749.0,388.73,0.0
69,2006-09-03 20:00,69808.0,19146.0,488.0,18.86
70,2006-09-03 21:00,70250.0,19531.0,514.92,276.99
71,2006-09-03 22:00,66733.0,19397.0,375.61,242.27
72,2006-09-03 23:00,64017.0,18487.0,367.05,0.0
73,2006-09-04 00:00,61505.0,17932.0,398.0,0.0
74,2006-09-04 01:00,59967.0,17460.0,0.0,0.0
75,2006-09-04 02:00,59088.0,17169.0,0.0,0.0
76,2006-09-04 03:00,58853.0,17064.0,0.0,0.0
77,2006-09-04 04:00,59522.0,17173.0,0.0,0.0
78,2006-09-04 05:00,61954.0,17356.0,24.63,0.0
79,2006-09-04 06:00,64482.0,17811.0,260.43,0.0
80,2006-09-04 07:00,68264.0,18343.0,423.9,0.0
81,2006-09-04 08:00,72257.0,18865.0,414.66,0.0
82,2006-09-04 09:00,74716.0,19351.0,441.21,0.0
83,2006-09-04 10:00,74724.0,19560.0,452.05,0.0
84,2006-09-04 11:00,74584.0,19533.0,453.58,0.0
85,2006-09-04 12:00,74185.0,19403.0,443.27,0.0
86,2006-09-04 13:00,74479.0,19352.0,469.41,0.0
87,2006-09-04 14:00,73897.0,19356.0,466.26,0.0
88,2006-09-04 15:00,73208.0,19297.0,496.71,0.0
89,2006-09-04 16:00,72355.0,19273.0,486.77,0.0
90,2006-09-04 17:00,71383.0,19175.0,427.69,0.0
91,2006-09-04 18:00,71302.0,19272.0,427.91,0.0
